pid,rank,access_state
1247575543,11,3
329177594,11,3
839376933,11,3
910651087,11,3
1012277548,11,3
1025988427,11,3
206359782,11,3
387187813,11,3
441975150,11,3
1140037228,11,3
1298974508,11,3
896777720,11,3
1101770932,11,3
1178487783,11,3
1199846549,11,3
1285369239,11,3
1285718638,11,3
1000473114,12,3
1000871242,12,3
1001112813,12,3
1012240936,12,3
1014523752,12,3
101565878,12,3
1017962096,12,3
1022166083,12,3
1031714227,12,3
1038347073,12,3
1039041350,12,3
1039942622,12,3
1040031623,12,3
1043900059,12,3
1045720014,12,3
10500188,12,3
1054435094,12,3
1062427295,12,3
1065035115,12,3
1069213159,12,3
1069317896,12,3
1069359243,12,3
1076780711,12,3
1078876993,12,3
1079313883,12,3
1082504579,12,3
1087871017,12,3
1088778914,12,3
1089685184,12,3
1092500828,12,3
1092876887,12,3
1094102915,12,3
1094242564,12,3
1094658381,12,3
1098091471,12,3
1101973040,12,3
1103929422,12,3
1108988767,12,3
110967262,12,3
1110486301,12,3
1111295069,12,3
1114644350,12,3
1120816934,12,3
1122173151,12,3
1125232177,12,3
1128697849,12,3
1132819919,12,3
1133267388,12,3
1135692049,12,3
1137296503,12,3
1148078548,12,3
1152068869,12,3
1153715173,12,3
1154812291,12,3
1160663308,12,3
1161230059,12,3
1164203456,12,3
1164851524,12,3
116664522,12,3
1166660693,12,3
1175873659,12,3
1182719536,12,3
1205906439,12,3
120900834,12,3
1212616789,12,3
1238788021,12,3
1239996117,12,3
1244721364,12,3
1250660503,12,3
125238015,12,3
125239006,12,3
1252420622,12,3
1256871842,12,3
1257189927,12,3
1257411293,12,3
1258830389,12,3
1263901232,12,3
1264403603,12,3
1264993192,12,3
1266454871,12,3
1269329942,12,3
1282616025,12,3
132915455,12,3
135808481,12,3
139680938,12,3
153506259,12,3
157632438,12,3
157662204,12,3
162928325,12,3
171027955,12,3
171058964,12,3
172957797,12,3
173548832,12,3
173720940,12,3
175488770,12,3
189271783,12,3
190995457,12,3
195378337,12,3
199007726,12,3
199333866,12,3
199410875,12,3
200958731,12,3
208651739,12,3
217452734,12,3
217540727,12,3
221522890,12,3
224044377,12,3
230457822,12,3
248631396,12,3
253543644,12,3
270179712,12,3
288054476,12,3
296644547,12,3
296653786,12,3
302641279,12,3
307100654,12,3
313586380,12,3
327596088,12,3
330722757,12,3
350788916,12,3
354714887,12,3
356446777,12,3
357973218,12,3
364401962,12,3
370285870,12,3
372811375,12,3
376221131,12,3
377053380,12,3
377797846,12,3
380980190,12,3
384124035,12,3
392095035,12,3
393122750,12,3
399663055,12,3
403022797,12,3
406596368,12,3
406687294,12,3
409839348,12,3
419326532,12,3
421942382,12,3
436784553,12,3
454586820,12,3
461551193,12,3
476390600,12,3
484980370,12,3
486885666,12,3
54665812,12,3
60128473,12,3
76547718,12,3
80989998,12,3
835350425,12,3
840303394,12,3
840638941,12,3
845664842,12,3
846615944,12,3
848965494,12,3
859502517,12,3
861400191,12,3
866573480,12,3
877353274,12,3
878139579,12,3
878568226,12,3
879973177,12,3
887500745,12,3
889306081,12,3
891122639,12,3
893666483,12,3
89498188,12,3
896134243,12,3
900960657,12,3
904629425,12,3
905734718,12,3
907719309,12,3
908314873,12,3
910386805,12,3
917736813,12,3
920299446,12,3
920981725,12,3
922038290,12,3
922968851,12,3
923797929,12,3
931973136,12,3
942499249,12,3
957355129,12,3
95895744,12,3
98885026,12,3
1000793674,12,3
1000811687,12,3
1000930032,12,3
1002605440,12,3
1003016540,12,3
1003795697,12,3
1004640349,12,3
1006071424,12,3
1006661757,12,3
1007083609,12,3
1008765946,12,3
